Elevation (m),Storage (mcm),Area (m2)
195.3768,158.942039,6569672.524
195.6816,160.8946378,6633208.226
195.9864,162.8651221,6695125.184
196.2912,164.8531218,6757446.828
196.596,166.8587603,6820173.158
196.9008,168.8817909,6882090.116
197.2056,170.9234469,6951696.108
197.5104,172.9852088,7021706.786
197.8152,175.0658428,7085647.174
198.12,177.1647324,7151610.992
198.4248,179.2822475,7215956.066
198.7296,181.4166613,7273826.164
199.0344,183.5679738,7336957.18
199.3392,185.7370484,7400088.196
199.644,187.9252419,7471717.618
199.9488,190.1339112,7542537.668
200.2536,192.3614527,7605668.684
200.5584,194.6071264,7670418.444
200.8632,196.8705622,7733549.46
201.168,199.15102,7794657.046
201.4728,201.4488699,7857383.376
201.7776,203.7643586,7921728.45
202.0824,206.0979794,7984859.466
202.3872,208.4487456,8044348.308
202.692,210.8164104,8108693.382
202.9968,213.2023308,8173847.828
203.3016,215.6062599,8238192.902
203.6064,218.0288147,8306989.522
203.9112,220.470365,8371739.282
204.216,222.9293074,8434060.926
204.5208,225.4058885,8499215.372
204.8256,227.9002318,8563155.76
205.1304,230.4129539,8631547.694
205.4352,232.9460284,8703177.116
205.74,235.4978518,8767926.876
206.0448,238.0674374,8832271.95
206.3496,240.6550317,8899045.14
206.6544,243.2616216,8966223.016
206.9592,245.8867138,9035424.322
207.264,248.5316649,9107053.744
207.5688,251.1963518,9175850.364
207.8736,253.8799109,9244242.298
208.1784,256.5828356,9314252.976
208.4832,259.3052493,9384668.34
208.788,262.047152,9454274.332
209.0928,264.8084203,9523070.952
209.3976,267.5881908,9588225.398
209.7024,270.3865869,9658640.762
210.0072,273.2039786,9726223.324
210.312,276.0404892,9795424.63
210.6168,278.8962421,9868672.796
210.9216,281.7730875,9941920.962
211.2264,284.6694219,10011122.27
211.5312,287.5848752,10081132.95
211.836,290.5200642,10153167.05
212.1408,293.4758523,10228438.65
212.4456,296.453103,10307757.11
212.7504,299.4532964,10388694.31
213.0552,302.4758158,10468822.13
213.36,305.5205379,10546926.53
213.6648,308.5877092,10629482.48
213.9696,311.6784401,10714871.22
214.2744,314.7938405,10803902.14
214.5792,317.9339105,10887672.14
214.884,321.0979101,10974274.95
215.1888,324.284729,11053998.09
