Recorder,CanESM2_rcp45/Lake McClure Inflow,CanESM2_rcp45/node/Basin Outflow/flow,CanESM2_rcp45/Lake McClure Outflow Flood Days,CanESM2_rcp45/Lake McClure Inflow Flood Days,CanESM2_rcp45/node/blwNewExchequerPH/flow/ifr_not_met,CanESM2_rcp45/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,CanESM2_rcp45/Lake McClure Flood Control [node]/ifr_not_met,CanESM2_rcp45/New Exchequer PH/Hydropower Production,CanESM2_rcp45/New Merced Falls PH/Hydropower Production,CanESM2_rcp45/New McSwain PH/Hydropower Production,CanESM2_rcp85/Lake McClure Inflow,CanESM2_rcp85/node/Basin Outflow/flow,CanESM2_rcp85/Lake McClure Outflow Flood Days,CanESM2_rcp85/Lake McClure Inflow Flood Days,CanESM2_rcp85/node/blwNewExchequerPH/flow/ifr_not_met,CanESM2_rcp85/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,CanESM2_rcp85/Lake McClure Flood Control [node]/ifr_not_met,CanESM2_rcp85/New Exchequer PH/Hydropower Production,CanESM2_rcp85/New Merced Falls PH/Hydropower Production,CanESM2_rcp85/New McSwain PH/Hydropower Production,CNRM-CM5_rcp45/Lake McClure Inflow,CNRM-CM5_rcp45/node/Basin Outflow/flow,CNRM-CM5_rcp45/Lake McClure Outflow Flood Days,CNRM-CM5_rcp45/Lake McClure Inflow Flood Days,CNRM-CM5_rcp45/node/blwNewExchequerPH/flow/ifr_not_met,CNRM-CM5_rcp45/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,CNRM-CM5_rcp45/Lake McClure Flood Control [node]/ifr_not_met,CNRM-CM5_rcp45/New Exchequer PH/Hydropower Production,CNRM-CM5_rcp45/New Merced Falls PH/Hydropower Production,CNRM-CM5_rcp45/New McSwain PH/Hydropower Production,CNRM-CM5_rcp85/Lake McClure Inflow,CNRM-CM5_rcp85/node/Basin Outflow/flow,CNRM-CM5_rcp85/Lake McClure Outflow Flood Days,CNRM-CM5_rcp85/Lake McClure Inflow Flood Days,CNRM-CM5_rcp85/node/blwNewExchequerPH/flow/ifr_not_met,CNRM-CM5_rcp85/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,CNRM-CM5_rcp85/Lake McClure Flood Control [node]/ifr_not_met,CNRM-CM5_rcp85/New Exchequer PH/Hydropower Production,CNRM-CM5_rcp85/New Merced Falls PH/Hydropower Production,CNRM-CM5_rcp85/New McSwain PH/Hydropower Production,HadGEM2-ES_rcp45/Lake McClure Inflow,HadGEM2-ES_rcp45/node/Basin Outflow/flow,HadGEM2-ES_rcp45/Lake McClure Outflow Flood Days,HadGEM2-ES_rcp45/Lake McClure Inflow Flood Days,HadGEM2-ES_rcp45/node/blwNewExchequerPH/flow/ifr_not_met,HadGEM2-ES_rcp45/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,HadGEM2-ES_rcp45/Lake McClure Flood Control [node]/ifr_not_met,HadGEM2-ES_rcp45/New Exchequer PH/Hydropower Production,HadGEM2-ES_rcp45/New Merced Falls PH/Hydropower Production,HadGEM2-ES_rcp45/New McSwain PH/Hydropower Production,HadGEM2-ES_rcp85/Lake McClure Inflow,HadGEM2-ES_rcp85/node/Basin Outflow/flow,HadGEM2-ES_rcp85/Lake McClure Outflow Flood Days,HadGEM2-ES_rcp85/Lake McClure Inflow Flood Days,HadGEM2-ES_rcp85/node/blwNewExchequerPH/flow/ifr_not_met,HadGEM2-ES_rcp85/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,HadGEM2-ES_rcp85/Lake McClure Flood Control [node]/ifr_not_met,HadGEM2-ES_rcp85/New Exchequer PH/Hydropower Production,HadGEM2-ES_rcp85/New Merced Falls PH/Hydropower Production,HadGEM2-ES_rcp85/New McSwain PH/Hydropower Production,MIROC5_rcp45/Lake McClure Inflow,MIROC5_rcp45/node/Basin Outflow/flow,MIROC5_rcp45/Lake McClure Outflow Flood Days,MIROC5_rcp45/Lake McClure Inflow Flood Days,MIROC5_rcp45/node/blwNewExchequerPH/flow/ifr_not_met,MIROC5_rcp45/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,MIROC5_rcp45/Lake McClure Flood Control [node]/ifr_not_met,MIROC5_rcp45/New Exchequer PH/Hydropower Production,MIROC5_rcp45/New Merced Falls PH/Hydropower Production,MIROC5_rcp45/New McSwain PH/Hydropower Production,MIROC5_rcp85/Lake McClure Inflow,MIROC5_rcp85/node/Basin Outflow/flow,MIROC5_rcp85/Lake McClure Outflow Flood Days,MIROC5_rcp85/Lake McClure Inflow Flood Days,MIROC5_rcp85/node/blwNewExchequerPH/flow/ifr_not_met,MIROC5_rcp85/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,MIROC5_rcp85/Lake McClure Flood Control [node]/ifr_not_met,MIROC5_rcp85/New Exchequer PH/Hydropower Production,MIROC5_rcp85/New Merced Falls PH/Hydropower Production,MIROC5_rcp85/New McSwain PH/Hydropower Production
2070,38.172442115043836,17.24853759318629,0.0,0.4657534246575342,0.0,0.0,0.0,4504.130441853154,5131.206439753699,14880.65958431398,12.979040488158901,5.558985744939733,0.0,0.2493150684931507,0.0,0.0,0.0,3811.972972412607,1703.1948753493143,8035.8817507928825,79.98125411296166,51.450085403854885,0.06027397260273973,0.5671232876712329,0.0,0.0,0.0,4721.52324350356,14805.310297157823,27752.571061090952,75.49426634813148,50.45985251769037,0.06575342465753424,0.536986301369863,0.0,0.0,0.0,5193.141985384373,14525.217249392064,27380.02011457643,39.32189106488491,10.536281103816442,0.005479452054794521,0.4657534246575342,0.0,0.0,0.0,3830.1606180224753,3232.6062138016387,12355.336953620554,18.951099081569847,5.6094186216520505,0.0,0.40821917808219177,0.0,0.0,0.0,3815.618052628223,1704.6305369950646,7668.4303326257495,28.52039751618082,5.710284375063022,0.0,0.536986301369863,0.0,0.0,0.0,3821.450180832879,1852.6778755210933,10124.47171902465,22.179167951490413,5.683128210693153,0.0,0.4520547945205479,0.0,0.0,0.0,3625.206221178638,1677.7979152139717,6671.285929676445
2071,47.52927881316164,31.570456077761495,0.01643835616438356,0.4794520547945205,0.0,0.0,0.0,4225.118200811786,9167.204980934526,20305.05571892249,86.85603134141373,50.762197865293096,0.08493150684931507,0.6986301369863014,0.0,0.0,0.0,4558.157648494795,14595.457745076454,27532.4126148696,52.11425993852593,40.215668789569754,0.0547945205479452,0.5397260273972603,0.0,0.0,0.0,4835.0662959326,11612.552954993953,23557.605937008222,15.49859280595068,8.378879136890383,0.0027397260273972603,0.09041095890410959,0.0,0.0,0.0,4478.877168399725,2506.3534294816395,9120.882657419454,17.124189185578082,7.184828600895877,0.0,0.3178082191780822,0.0,0.0,0.0,3820.447187309869,2198.3591423476705,9125.05487125452,54.24474269379455,25.290968381871096,0.04657534246575343,0.4712328767123288,0.0,0.0,0.0,3857.745309185215,7386.500711085778,17854.104202155053,87.49011786030955,63.45671759562474,0.11232876712328767,0.5972602739726027,0.0,0.0,0.0,4422.780029897537,18186.41683826603,32305.897253857558,84.12783722153154,43.82032838965191,0.06301369863013699,0.6438356164383562,0.0,0.0,0.0,4236.339894269591,12632.048306022758,24921.89454881097
2072,12.292082410565579,5.428507641811468,0.0,0.21311475409836064,0.0,0.0,0.0,3795.0746264349773,1724.8989556833292,7092.111833920488,67.20246737680326,52.35555948182249,0.06284153005464481,0.592896174863388,0.0,0.0,0.0,4993.803986922126,15009.835450016115,24970.31824196724,25.460301831265014,9.127216359297813,0.00546448087431694,0.3114754098360656,0.0,0.0,0.0,3829.4108289420806,2773.473199070761,8522.458231784698,57.9490253367378,35.29470444609552,0.02185792349726776,0.6038251366120219,0.0,0.0,0.0,4727.561345974041,10184.07480236394,18551.588059956288,31.290501676855236,9.492840466885248,0.0,0.4453551912568306,0.0,0.0,0.0,3819.948505884982,2885.8696668795073,8844.266666395071,35.27664748276502,15.764510013368906,0.00546448087431694,0.4453551912568306,0.0,0.0,0.0,4040.1390181584725,4659.847350392349,11208.23126905246,29.849337597385244,17.109869508177656,0.01366120218579235,0.39344262295081966,0.0,0.0,0.0,4057.32506153716,5040.389995945355,11709.987880833618,47.7419726983389,38.70694388327036,0.03278688524590164,0.4672131147540984,0.0,0.0,0.0,4658.339309500546,11149.246287907654,19830.95778931585
2073,46.91030166658628,14.09725990707672,0.019178082191780823,0.5589041095890411,0.0,0.0,0.0,3897.9407402780894,4241.15082225698,13044.270664321912,62.64789480243017,46.92063316841925,0.06575342465753424,0.5643835616438356,0.0,0.0,0.0,4853.614579526573,13525.50692358905,25385.42049216847,84.83709507470414,56.31249677940828,0.0821917808219178,0.5835616438356165,0.0,0.0,0.0,4793.4023831189015,16182.049384687703,28923.29399568487,64.83629448730954,45.58455982743272,0.024657534246575342,0.5780821917808219,0.0,0.0,0.0,5034.615867587666,13147.59091856961,24887.1696292822,18.916061564813685,5.47363779973424,0.0,0.336986301369863,0.0,0.0,0.0,3821.1745573676767,1801.9866891005443,9796.414487610955,31.377021226180833,9.37644421029041,0.00821917808219178,0.4273972602739726,0.0,0.0,0.0,3870.8629863208257,2905.9178550753372,11264.750116058354,53.541017727723265,25.37452892488206,0.03561643835616438,0.4767123287671233,0.0,0.0,0.0,3907.5511778556224,7431.067825442211,17288.053024561657,17.159397706553435,5.652092594241109,0.0,0.35342465753424657,0.0,0.0,0.0,3817.926946434251,1774.0141545958884,8519.476692793702
2074,38.838984724893116,18.296859219115056,0.0,0.4904109589041096,0.0,0.0,0.0,4228.325106746032,5429.108375976168,14620.838479072045,73.63025323427398,48.016809151320444,0.03561643835616438,0.6027397260273972,0.0,0.0,0.0,5651.551271051218,13835.566583433694,25806.658168441114,60.428683597643875,39.38334283493411,0.06301369863013699,0.536986301369863,0.0,0.0,0.0,5072.576322288488,11393.541145034269,22554.113132986047,92.49608754762185,70.50550806061081,0.09041095890410959,0.6547945205479452,0.0,0.0,0.0,5832.928644594502,20196.623985837552,34263.0679796575,53.48931982425483,24.37064573356982,0.01643835616438356,0.4191780821917808,0.0,0.0,0.0,3916.074520668775,7147.1137102372795,16905.95237016823,46.433352416926,20.960807372747933,0.03561643835616438,0.5232876712328767,0.0,0.0,0.0,4322.102776052606,6182.621382619735,15623.083934331507,45.50971550363284,24.002433141657512,0.024657534246575342,0.4383561643835616,0.0,0.0,0.0,4313.8630834695905,7042.962667352609,16767.421371559452,30.741015339158896,5.979166566857535,0.0,0.4273972602739726,0.0,0.0,0.0,3827.244553804667,1944.9783988350655,9986.607344397537
2075,50.822111657953386,35.19026948373411,0.03287671232876712,0.5178082191780822,0.0,0.0,0.0,4686.1022809854785,10206.128155547405,21626.38406398082,24.227104971112343,15.757848693035678,0.0,0.3726027397260274,0.0,0.0,0.0,4503.292605217258,4702.809416022195,14116.840944516433,44.46194835023561,30.38902522093409,0.038356164383561646,0.4876712328767123,0.0,0.0,0.0,4637.032648558902,8848.068692947398,19820.03312825069,61.02372433544382,45.77794148423845,0.0273972602739726,0.589041095890411,0.0,0.0,0.0,4837.496349324928,13200.911875079464,25609.737167013696,38.509532182726005,14.581728074391798,0.0027397260273972603,0.4767123287671233,0.0,0.0,0.0,4025.7072995778135,4376.88407997123,13881.751723199728,15.894157366969859,10.774265967317772,0.005479452054794521,0.2684931506849315,0.0,0.0,0.0,4436.415279385478,3271.691533641093,11310.69650850684,19.883353588087687,11.025573553268455,0.0,0.4273972602739726,0.0,0.0,0.0,4716.703290793967,3369.083461256162,12515.528048560536,10.324924849123297,5.489155607953421,0.0,0.27671232876712326,0.0,0.0,0.0,3807.963727601924,1697.7022752199969,8201.74586874685
2076,26.32780215804919,5.6142125598442645,0.0,0.42896174863387976,0.0,0.0,0.0,3821.430002638258,1841.0667392341506,9828.730394408194,21.933461023822414,7.244729104652986,0.00273224043715847,0.3825136612021858,0.0,0.0,0.0,3817.990498656289,2239.654381724586,9276.944002267212,24.2131711892787,6.001814753713115,0.00273224043715847,0.33060109289617484,0.0,0.0,0.0,3804.4073537439936,1950.7022417147505,9974.556256954096,28.707342889535575,14.689614980254172,0.00546448087431694,0.4207650273224044,0.0,0.0,0.0,4487.616313982784,4405.270097701363,13213.16761979399,83.45573421810374,60.16811258498353,0.04644808743169399,0.6475409836065574,0.0,0.0,0.0,5776.998224094243,17271.95009134125,30353.3033961284,30.977338249153032,7.5894409198715875,0.00273224043715847,0.39344262295081966,0.0,0.0,0.0,3850.9006678437186,2320.9836039920715,9227.200015463111,4.169099866480879,5.428507641811468,0.0,0.03825136612021858,0.0,0.0,0.0,3039.065816781689,1552.3905032109246,5350.854872861196,93.28188820271315,53.83791527428406,0.07650273224043716,0.6284153005464481,0.0,0.0,0.0,4992.0554734133775,15480.946923260666,27968.48867902597
2077,81.04416005542464,49.965826731161556,0.0410958904109589,0.6356164383561644,0.0,0.0,0.0,5371.571980549304,14370.441020769329,27234.693046036195,28.53283301881368,5.991540443789041,0.0,0.3589041095890411,0.0,0.0,0.0,3825.5250217394564,1916.0708452167098,9883.471076651227,101.1052633842959,68.07928443869847,0.1178082191780822,0.6328767123287671,0.0,0.0,0.0,5094.148057324377,19493.936369434276,34049.439287144975,34.74479682578356,13.798522343643858,0.0,0.4,0.0,0.0,0.0,3959.1454855016473,4123.831544232047,13162.132133435067,72.67754020823291,50.393319410994536,0.043835616438356165,0.6,0.0,0.0,0.0,5151.087245430404,14491.359775989595,27391.112617994542,86.840516657748,57.886036427115116,0.09041095890410959,0.6,0.0,0.0,0.0,4798.96105625397,16610.717735402755,30210.06446773152,8.81362816952602,5.493035060008217,0.0,0.18356164383561643,0.0,0.0,0.0,1673.1337497843879,1587.736160869314,2655.0552972153546,53.701690610169884,42.96579716886835,0.04657534246575343,0.4958904109589041,0.0,0.0,0.0,4836.119017765202,12390.442532135638,24592.27459771509
2078,32.07291430990956,13.701772749745219,0.005479452054794521,0.4410958904109589,0.0,0.0,0.0,4578.399372179451,4129.361827223281,12892.049380077538,31.847685529002728,9.602879652241098,0.005479452054794521,0.3726027397260274,0.0,0.0,0.0,3877.036394092056,2897.143574081365,10074.56235278082,81.81996399304104,61.24891472542183,0.0410958904109589,0.5589041095890411,0.0,0.0,0.0,5621.9373200756,17578.343498987422,30780.500730370986,42.09129756709038,11.848467264134227,0.00821917808219178,0.4767123287671233,0.0,0.0,0.0,3856.429307040551,3605.042242041092,12197.88892966,14.111535707517822,6.3410094623643785,0.0,0.2356164383561644,0.0,0.0,0.0,3916.7023836608255,2045.5773835745163,10105.948893593695,49.506098557676715,30.52924127250947,0.019178082191780823,0.473972602739726,0.0,0.0,0.0,4430.580347052604,8889.107762255639,19218.55947210359,28.081025202408227,6.0528761558986295,0.0,0.5041095890410959,0.0,0.0,0.0,3831.861655532885,1906.250548983281,8513.497436930991,7.418415688331499,5.442602183295882,0.0,0.19726027397260273,0.0,0.0,0.0,3567.3179137627494,1617.3812283789005,7171.545826735893
2079,44.92899469168491,23.76047262752596,0.00821917808219178,0.5506849315068493,0.0,0.0,0.0,4511.261839937262,6973.144594449318,17326.202045498063,125.23924632738914,94.2400468080244,0.1863013698630137,0.6684931506849315,0.0,0.0,0.0,5691.60130090053,26908.696172257805,43846.835248090436,70.87381476915336,48.57664132877249,0.052054794520547946,0.663013698630137,0.0,0.0,0.0,5665.511246068479,13992.540168883019,26667.09376866846,103.95988695113705,78.15217559967382,0.07671232876712329,0.5753424657534246,0.0,0.0,0.0,4911.491175106022,22358.14957737397,37794.166476871775,27.523385560413676,6.233572727679443,0.0027397260273972603,0.4465753424657534,0.0,0.0,0.0,3837.80344915973,2011.2275271884905,10646.757865551785,43.47773100076986,24.84528392503295,0.0136986301369863,0.4054794520547945,0.0,0.0,0.0,4392.675927436435,7279.989687989593,17743.164036341914,10.937153248676717,5.543467936720547,0.0,0.31232876712328766,0.0,0.0,0.0,3409.0155623983705,1585.3051589219158,5945.9371411419215,31.490575202745205,5.5007939641178005,0.0,0.336986301369863,0.0,0.0,0.0,3970.143284904113,1716.7364930323267,8157.982855616435
