,CanESM2_rcp45/Lake McClure Inflow,CanESM2_rcp45/node/Basin Outflow/flow,CanESM2_rcp45/Lake McClure Outflow Flood Days,CanESM2_rcp45/Lake McClure Inflow Flood Days,CanESM2_rcp45/node/blwNewExchequerPH/flow/ifr_not_met,CanESM2_rcp45/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,CanESM2_rcp45/Lake McClure Flood Control [node]/ifr_not_met,CanESM2_rcp45/New Exchequer PH/Hydropower Production,CanESM2_rcp45/New Merced Falls PH/Hydropower Production,CanESM2_rcp45/New McSwain PH/Hydropower Production,CanESM2_rcp85/Lake McClure Inflow,CanESM2_rcp85/node/Basin Outflow/flow,CanESM2_rcp85/Lake McClure Outflow Flood Days,CanESM2_rcp85/Lake McClure Inflow Flood Days,CanESM2_rcp85/node/blwNewExchequerPH/flow/ifr_not_met,CanESM2_rcp85/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,CanESM2_rcp85/Lake McClure Flood Control [node]/ifr_not_met,CanESM2_rcp85/New Exchequer PH/Hydropower Production,CanESM2_rcp85/New Merced Falls PH/Hydropower Production,CanESM2_rcp85/New McSwain PH/Hydropower Production,CNRM-CM5_rcp45/Lake McClure Inflow,CNRM-CM5_rcp45/node/Basin Outflow/flow,CNRM-CM5_rcp45/Lake McClure Outflow Flood Days,CNRM-CM5_rcp45/Lake McClure Inflow Flood Days,CNRM-CM5_rcp45/node/blwNewExchequerPH/flow/ifr_not_met,CNRM-CM5_rcp45/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,CNRM-CM5_rcp45/Lake McClure Flood Control [node]/ifr_not_met,CNRM-CM5_rcp45/New Exchequer PH/Hydropower Production,CNRM-CM5_rcp45/New Merced Falls PH/Hydropower Production,CNRM-CM5_rcp45/New McSwain PH/Hydropower Production,CNRM-CM5_rcp85/Lake McClure Inflow,CNRM-CM5_rcp85/node/Basin Outflow/flow,CNRM-CM5_rcp85/Lake McClure Outflow Flood Days,CNRM-CM5_rcp85/Lake McClure Inflow Flood Days,CNRM-CM5_rcp85/node/blwNewExchequerPH/flow/ifr_not_met,CNRM-CM5_rcp85/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,CNRM-CM5_rcp85/Lake McClure Flood Control [node]/ifr_not_met,CNRM-CM5_rcp85/New Exchequer PH/Hydropower Production,CNRM-CM5_rcp85/New Merced Falls PH/Hydropower Production,CNRM-CM5_rcp85/New McSwain PH/Hydropower Production,HadGEM2-ES_rcp45/Lake McClure Inflow,HadGEM2-ES_rcp45/node/Basin Outflow/flow,HadGEM2-ES_rcp45/Lake McClure Outflow Flood Days,HadGEM2-ES_rcp45/Lake McClure Inflow Flood Days,HadGEM2-ES_rcp45/node/blwNewExchequerPH/flow/ifr_not_met,HadGEM2-ES_rcp45/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,HadGEM2-ES_rcp45/Lake McClure Flood Control [node]/ifr_not_met,HadGEM2-ES_rcp45/New Exchequer PH/Hydropower Production,HadGEM2-ES_rcp45/New Merced Falls PH/Hydropower Production,HadGEM2-ES_rcp45/New McSwain PH/Hydropower Production,HadGEM2-ES_rcp85/Lake McClure Inflow,HadGEM2-ES_rcp85/node/Basin Outflow/flow,HadGEM2-ES_rcp85/Lake McClure Outflow Flood Days,HadGEM2-ES_rcp85/Lake McClure Inflow Flood Days,HadGEM2-ES_rcp85/node/blwNewExchequerPH/flow/ifr_not_met,HadGEM2-ES_rcp85/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,HadGEM2-ES_rcp85/Lake McClure Flood Control [node]/ifr_not_met,HadGEM2-ES_rcp85/New Exchequer PH/Hydropower Production,HadGEM2-ES_rcp85/New Merced Falls PH/Hydropower Production,HadGEM2-ES_rcp85/New McSwain PH/Hydropower Production,MIROC5_rcp45/Lake McClure Inflow,MIROC5_rcp45/node/Basin Outflow/flow,MIROC5_rcp45/Lake McClure Outflow Flood Days,MIROC5_rcp45/Lake McClure Inflow Flood Days,MIROC5_rcp45/node/blwNewExchequerPH/flow/ifr_not_met,MIROC5_rcp45/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,MIROC5_rcp45/Lake McClure Flood Control [node]/ifr_not_met,MIROC5_rcp45/New Exchequer PH/Hydropower Production,MIROC5_rcp45/New Merced Falls PH/Hydropower Production,MIROC5_rcp45/New McSwain PH/Hydropower Production,MIROC5_rcp85/Lake McClure Inflow,MIROC5_rcp85/node/Basin Outflow/flow,MIROC5_rcp85/Lake McClure Outflow Flood Days,MIROC5_rcp85/Lake McClure Inflow Flood Days,MIROC5_rcp85/node/blwNewExchequerPH/flow/ifr_not_met,MIROC5_rcp85/node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,MIROC5_rcp85/Lake McClure Flood Control [node]/ifr_not_met,MIROC5_rcp85/New Exchequer PH/Hydropower Production,MIROC5_rcp85/New Merced Falls PH/Hydropower Production,MIROC5_rcp85/New McSwain PH/Hydropower Production
3,13.882993214993872,10.511498390518463,0.005029868578255675,0.15491039426523298,0.0,0.0,0.0,2144.9674548129638,3036.022623390221,5383.1330421602515,18.337273348122466,12.806872436974132,0.007921146953405019,0.18356033452807644,0.0,0.0,0.0,2299.1396006425502,3678.3126023602435,5903.761528041898,16.83106159997919,13.726729608713049,0.008291517323775388,0.14093189964157707,0.0,0.0,0.0,2278.6216949429013,3945.7281854769317,6527.380284772094,28.202781728064753,19.342614813798985,0.013309438470728794,0.18038231780167266,0.0,0.0,0.0,2158.1681004712073,5523.144502145417,8236.94404886483,11.206315433841048,8.084239970186385,0.0021744324970131425,0.11703703703703705,0.0,0.0,0.0,2019.0116403186755,2339.8390303232754,3989.9035181195227,16.464100750291873,7.824186875892944,0.006152927120669056,0.13768219832735962,0.0,0.0,0.0,1654.2893669856278,2262.9386075349776,3743.0315031893056,8.9630205583609,6.096164229891005,0.0018160095579450419,0.08953405017921146,0.0,0.0,0.0,1620.1365035217775,1770.37190194113,3085.1824371735634,11.062999439866651,5.8095506670939905,0.0025448028673835128,0.1319952210274791,0.0,0.0007168458781362007,0.0,1691.3272048779143,1691.4424583928048,2970.5626885207726
0,71.72204475098995,53.87389130087373,0.04412029807924236,0.7288951517690521,0.0,0.0,0.0,3989.2609610180575,15267.603302771566,21325.368935113846,131.42898597552912,104.6624149394624,0.1545479935509261,0.7820390752942071,0.0,0.0,0.0,4063.13488092147,29633.813005311804,40464.82448655763,85.18591037793342,63.63814116760565,0.05157693398162607,0.7901558526191957,0.0,0.0,0.0,4107.6804953758,18030.058293645197,25034.117296033615,115.97150499768406,85.83761710387584,0.11258542695492842,0.8022368638204416,0.0,0.0,0.0,4085.688311129423,24308.761474839517,33363.4648783644,50.40424706951719,25.099894467450323,0.019916805254048656,0.6547447664749718,0.0,0.0,0.0,2763.126644438747,7127.658135994807,10421.942520844663,68.29907887800056,34.69403529738047,0.030289488940515332,0.7213403409884348,0.0,0.0,0.0,2999.5673737666907,9842.239305098783,14116.165600424005,40.878735735045176,15.166233389281047,0.010675248505160528,0.5354411310423041,0.0,0.0,0.0,2367.5835326706733,4315.732391844583,6552.91167156374,51.6434113308756,22.607926265640263,0.015081692501047341,0.6167735164802614,0.0,0.0,0.0,2542.170108126837,6421.825095632218,9420.148567468703
1,94.37651265458179,39.36717420215579,0.058518518518518525,0.8953643966547192,0.0,0.0,0.0,5908.844761517682,11523.410324675695,27536.389540090608,86.1363391384923,41.41739395931797,0.07028673835125447,0.8191995221027479,0.0,0.0,0.0,5941.009348000055,12105.963719973157,28528.795214789086,107.50088526643323,50.73732601287792,0.09677419354838708,0.9481481481481482,0.0,0.0,0.0,5941.009348000055,14742.159927964523,32037.741143137482,77.92966031796877,39.49464245467539,0.06475507765830346,0.7494623655913979,0.0,0.0,0.0,5941.009348000055,11551.60726308697,27639.996647144046,73.01934602137715,25.626698564683334,0.03,0.8116965352449222,0.0,0.0,0.0,5941.009348000055,7629.369377789982,22157.913811852894,61.886048027234835,24.85187754513827,0.02667861409796894,0.7239904420549581,0.0,0.0,0.0,5941.009348000055,7407.376179308808,22050.34549177767,63.948108574356944,22.023464455373688,0.024229390681003587,0.7666905615292712,0.0,0.0,0.0,5842.852160124815,6568.6876636396455,19871.061348579296,61.362908330039325,24.82395856940676,0.03341696535244922,0.7003942652329749,0.0,0.0,0.0,5764.361488349307,7372.620505547075,21120.901389537787
2,10.535207886590042,9.525549264821406,0.002867383512544803,0.16285543608124253,0.0,0.0,0.0,5656.536374300212,3115.7808059258896,17777.990467695614,6.930040023912807,8.34484319805876,0.0,0.12427718040621266,0.0,0.0,0.0,5925.252121433153,2735.522945423823,16554.01763476204,6.790650716842246,8.476491550046568,0.0,0.11299880525686977,0.0,0.0,0.0,5927.534741248205,2837.504065300584,17741.170041566136,4.936917493568256,8.608883870673933,0.00037037037037037035,0.06464755077658303,0.0,0.0,0.0,5842.303176733229,2813.553823324763,16457.04752964688,5.826667900732288,8.793936844215748,0.0,0.07566308243727599,0.0,0.0,0.0,5713.936069952608,2837.9999872873327,15784.311020705223,2.2667618549729274,8.239459397318612,0.0,0.015579450418160093,0.0,0.0,0.0,5828.6591222249945,2680.6350950481715,15718.870614904941,2.7508649529722344,8.229238821124708,0.0,0.03982078853046595,0.0,0.0,0.0,5307.806323617925,2619.0892405366685,14235.642538407155,3.8379638482768814,8.229238821124701,0.0,0.036654719235364404,0.0,0.0,0.0,5383.029953294427,2589.667386208723,13880.870808087799
