Year,Month,Scen,Inflow,Month-Year
1992,12,Historic,1.841015177,1992-12
1992,2,Historic,1.936813317,1992-2
1992,3,Historic,2.280785119,1992-3
1992,4,Historic,5.659151345,1992-4
1992,5,Historic,5.816725662,1992-5
1992,6,Historic,0.73093855,1992-6
1992,7,Historic,0.339868029,1992-7
1992,8,Historic,0.065299652,1992-8
1992,9,Historic,0.078028811,1992-9
1993,1,Historic,7.863408111,1993-1
1993,10,Historic,0.238034134,1993-10
1993,11,Historic,0.218408951,1993-11
1993,12,Historic,0.525851391,1993-12
1993,2,Historic,6.63784125,1993-2
1993,3,Historic,7.37830574,1993-3
1993,4,Historic,7.53914781,1993-4
1993,5,Historic,13.22652335,1993-5
1993,6,Historic,13.72128043,1993-6
1993,7,Historic,5.629330111,1993-7
1993,8,Historic,1.195470756,1993-8
1993,9,Historic,0.398380083,1993-9
1994,1,Historic,0.404429499,1994-1
1994,10,Historic,0.642963723,1994-10
1994,11,Historic,0.755380183,1994-11
1994,12,Historic,0.684205992,1994-12
1994,2,Historic,1.120074306,1994-2
1994,3,Historic,0.640586421,1994-3
1994,4,Historic,2.095361095,1994-4
1994,5,Historic,3.934913853,1994-5
1994,6,Historic,1.763628854,1994-6
1994,7,Historic,0.225429061,1994-7
1994,8,Historic,0.055828776,1994-8
1994,9,Historic,0.125603516,1994-9
1995,1,Historic,9.224913588,1995-1
1995,10,Historic,0.27021682,1995-10
1995,11,Historic,0.138676471,1995-11
1995,12,Historic,2.058576035,1995-12
1995,2,Historic,5.509361324,1995-2
1995,3,Historic,15.25974243,1995-3
1995,4,Historic,9.165970902,1995-4
1995,5,Historic,12.53871423,1995-5
1995,6,Historic,16.33020713,1995-6
1995,7,Historic,11.66067196,1995-7
1995,8,Historic,3.138642717,1995-8
1995,9,Historic,1.040036263,1995-9
1996,1,Historic,1.31278818,1996-1
1996,10,Historic,0.260474726,1996-10
1996,11,Historic,1.843800633,1996-11
1996,12,Historic,7.40622638,1996-12
1996,2,Historic,7.109658051,1996-2
1996,3,Historic,6.446915507,1996-3
1996,4,Historic,7.258641388,1996-4
1996,5,Historic,19.70104113,1996-5
1996,6,Historic,9.971262932,1996-6
1996,7,Historic,1.67988488,1996-7
1996,8,Historic,0.343828092,1996-8
1996,9,Historic,0.182686649,1996-9
1997,1,Historic,17.53930274,1997-1
1997,10,Historic,0.132935183,1997-10
1997,11,Historic,0.37241814,1997-11
1997,12,Historic,0.742075528,1997-12
1997,2,Historic,5.038328745,1997-2
1997,3,Historic,4.182184741,1997-3
1997,4,Historic,7.352933435,1997-4
1997,5,Historic,15.61410448,1997-5
1997,6,Historic,6.90652461,1997-6
